Code,TDS,DO,Nitrate,TH,pH,Chlorides,Alkalinity,EC,Ammonia,Seasons,Time,AWQI
A1,170,5.6,0.4004,140,7.9,24.99,60,265,0.0089,0,2,37.8
A2,170,4.9,0.4088,140,7.7,24.99,60,265,0.039,0,4,35.73
A3,180,4.3,0.4634,140,7.6,24.99,70,281,0,0,6,30.45
A4,170,3.5,0.6567,140,7.64,24.99,60,265,0,0,8,26.42
A5,180,4.9,0.6273,110,8.02,24.99,70,281,0,0,10,33.94
A6,180,5.4,2.0055,120,7.61,24.99,70,281,0,0,12,36.01
A7,180,4.9,0.955,120,7.29,29.99,70,281,0.462,0,2,59.01
A8,180,4,2.5475,130,7.47,29.99,70,281,0.049,0,4,31.53
A9,190,5.4,2.4634,140,7.7,34.99,80,296,0,0,6,36.14
A10,190,4.9,1.1861,130,7.77,24.99,70,296,0,0,8,33.66
A11,190,4.2,0.4088,130,8.64,24.99,80,296,0,0,10,31.14
A12,190,3.8,1.0937,130,8.06,34.99,80,296,0,0,12,28.48
A13,210,6.1,0.6693,140,7.73,49.98,80,328,0,0,2,39.71
A14,220,5.8,1.0811,190,7.69,44.99,70,343,0.0831,0,4,42.77
A15,220,4.8,0.6777,170,7.74,39.99,70,343,0.735,0,6,74.32
A16,220,4.9,1.0013,190,7.78,44.99,90,343,0.479,0,8,60.59
A17,230,4.8,1.245,140,7.89,49.98,80,359,0.1035,0,10,39.13
A18,220,5.6,0.6189,120,7.9,39.99,80,343,0,0,12,37.38
A19,230,6,1.2912,140,7.75,54.98,60,359,0.0396,0,2,41.38
A20,230,3.8,0.6735,140,7.73,49.98,70,359,0.0064,0,4,28.44
A21,230,4.3,0.8542,160,7.7,39.99,70,359,0.0089,0,6,31.06
A22,230,3.7,0.8752,110,7.73,44.99,80,359,0.173,0,8,37.3
A23,240,3.4,3.2155,180,7.81,44.99,80,375,0.682,0,10,64.4
A24,230,3.2,0.6357,130,7.9,54.98,80,359,0.609,0,12,59.4
A25,240,8,1.0433,130,7.82,49.98,80,375,0,0,2,49.4
A26,240,3.4,1.0055,150,7.7,44.99,90,375,0,0,4,26.1
A27,250,3.7,1.4004,190,7.69,54.98,90,390,0,0,6,27.6
A28,240,2.9,1.4929,220,7.67,49.98,70,375,0,0,8,23.47
A29,250,3.5,2.5223,130,7.73,54.98,80,390,0,0,10,26.6
A30,250,3.3,2.3584,150,8.1,54.98,90,390,0,0,12,26.04
A31,250,4.2,2.1021,140,7.54,49.98,90,390,0,0,2,29.96
A32,260,3.8,2.6357,150,7.69,49.98,110,406,0,0,4,28.18
A33,250,2.4,2.7071,170,7.53,54.98,100,390,0,0,6,20.9
A34,250,2.9,1.4634,120,7.63,49.98,90,390,0,0,8,23.5
A35,260,3,1.745,150,7.65,44.99,90,406,0,0,10,24.03
A36,260,3.7,3.3206,150,7.83,49.98,90,406,0,0,12,27.76
A37,250,6.1,1.8206,140,7.74,49.98,100,390,0,0,2,39.8
A38,250,2.8,2.0643,130,7.6,49.98,90,390,0,0,4,22.96
A39,230,5.2,1.5559,150,7.67,54.98,100,359,0,0,6,35.18
A40,260,3.9,2.7324,150,7.74,44.99,90,406,0,0,8,28.67
A41,260,4.2,1.5769,150,7.74,49.98,90,406,0,0,10,30.18
A42,250,4.3,1.6693,140,7.78,54.98,90,390,0,0,12,30.73
A43,250,4.5,1.6819,150,7.67,49.98,90,390,0,0,2,31.61
A44,240,4.4,1.5769,150,7.6,49.98,80,375,0,0,4,30.99
A45,260,5.1,5.1105,150,7.47,54.98,100,406,0,0,6,34.45
A46,240,3.2,5.6021,150,7.66,44.99,90,375,0,0,8,25.05
A47,240,3.2,0.808,150,7.55,49.98,100,375,0,0,10,24.96
A48,240,3.4,1.1273,110,7.6,44.99,100,375,0,0,12,26.02
A49,240,2.7,2.3164,160,7.64,49.98,100,375,0,0,2,22.54
A50,240,3.6,5.2744,150,7.6,39.99,110,375,1.09,0,4,88.15
A51,230,2.9,4.6651,150,7.48,49.98,100,359,0,0,6,23.37
A52,240,4.5,3.7744,170,7.61,44.99,110,375,0,0,8,31.62
A53,250,3,1.6273,140,7.6,49.98,100,390,0,0,10,24.01
A54,250,2.2,1.1987,170,7.7,54.98,100,390,0,0,12,20.08
A55,240,5.5,3.5097,200,7.73,49.98,100,375,0,0,2,36.76
A56,240,3,2.2523,130,7.61,49.98,110,375,0,0,4,24.05
A57,250,4,1.7113,140,7.51,54.98,120,390,0,0,6,29.02
A58,240,3.5,2.1021,150,7.55,44.99,120,375,0,0,8,26.54
A59,240,2.8,2.4046,120,7.6,49.98,110,375,0,0,10,23.03
A60,250,3.7,1.7996,180,7.7,44.99,120,390,0,0,12,27.72
A61,136,4.5,0.22,210,8.67,28.36,110,209,0.00488,1,2,33.06
A62,166,4.4,0,150,8.66,42.54,130,253,0,1,4,32.35
A63,131,4.3,0,270,8.75,35.45,140,201,0,1,6,31.98
A64,144,3.5,0,140,8.62,35.45,150,220,0.017,1,8,28.79
A65,170,3.4,0,150,5.81,28.36,120,259,0,1,10,24.09
A66,166,4.1,1.54,150,8.55,35.45,100,252,0,1,12,30.6
A67,298,2.8,0.19,150,7.9,77.99,150,454,0.692,1,2,62.29
A68,239,3.2,0.09,150,8.17,63.81,120,365,0.168,1,4,35.14
A69,217,3.2,0.19,170,8.37,49.63,130,330,0,1,6,25.98
A70,209,5.9,0.21,150,8.41,49.63,150,316,0,1,8,39.71
A71,205,2.9,0.26,170,8.38,56.72,130,310,0.0025,1,10,24.62
A72,190,3.3,0.22,160,8.43,42.54,130,288,0,1,12,26.55
A73,205,3.3,0.21,160,8.14,49.63,120,310,0.257,1,2,40.59
A74,201,2.9,0.1,210,8.14,49.63,140,305,0,1,4,24.24
A75,204,3.2,0.07,180,8.15,63.81,120,309,0.823,1,6,71.81
A76,204,3,0.16,220,8.12,49.63,110,310,0.784,1,8,68.55
A77,201,4.4,0.01,130,8.18,56.72,110,305,0.358,1,10,51.8
A78,201,2.6,0.55,150,8.08,49.63,120,305,0,1,12,22.59
A79,202,2.6,0.17,150,7.86,49.63,110,306,0,1,2,22.31
A80,207,2.2,0.28,130,7.84,56.72,110,315,0.0048,1,4,20.54
A81,206,2.3,0.26,180,7.9,56.72,100,313,0.0077,1,6,21.24
A82,206,2.5,0.12,160,7.96,49.63,120,313,0,1,8,21.95
A83,206,2.8,0.14,200,7.9,56.72,150,313,0,1,10,23.51
A84,206,2.6,0.16,170,7.93,42.54,140,312,0,1,12,22.5
A85,212,2.8,0.32,160,7.8,49.63,130,322,0.458,1,2,48.99
A86,207,2,0.22,150,7.8,56.72,100,313,0.623,1,4,54.09
A87,206,2.2,0.3001,230,7.87,49.63,130,312,0,1,6,20.38
A88,164,2.1,0.2297,240,7.82,49.63,100,248,0,1,8,19.7
A89,205,2.5,0.2593,170,7.76,49.63,110,311,0,1,10,21.69
A90,170,2.3,0.2371,180,7.77,49.63,130,258,0.0012,1,12,20.83
A91,174,2.4,0,150,7.67,42.54,140,264,0,1,2,21.19
A92,206,2.6,0.0629,190,7.68,63.81,120,313,0,1,4,22.14
A93,205,2.3,0.0222,190,7.74,77.99,110,312,0,1,6,20.66
A94,206,2.6,0.1407,160,7.71,49.63,120,313,0,1,8,22.18
A95,206,2.9,0.1519,180,7.7,56.72,110,313,0,1,10,23.64
A96,205,3.4,0.1296,160,7.68,49.63,117,311,0,1,12,26.17
A97,199,3.8,0.0111,190,7.64,49.63,150,302,0.232,1,2,41.26
A98,149,3.6,0.1185,120,7.6,56.72,120,228,0.014,1,4,27.88
A99,198,3.9,0.1667,170,7.69,56.72,100,302,0,1,6,28.64
A100,199,4.3,0.0259,180,7.63,42.54,100,304,0,1,8,30.59
A101,202,3.4,0,150,7.65,56.72,120,308,0,1,10,26.15
A102,160,3.9,0,180,7.64,49.63,140,243,0,1,12,28.72
A103,178,3.3,0,160,7.41,56.72,180,270,0.018,1,2,26.59
A104,207,2.3,0,180,7.54,56.72,200,315,0,1,4,20.76
A105,147,2.4,0.0222,170,7.54,56.72,140,225,0,1,6,21.04
A106,210,2.7,0.0518,180,7.62,56.72,120,317,0,1,8,22.58
A107,210,2.3,0.1519,150,7.52,56.72,110,318,0,1,10,20.42
A108,210,3.4,0.0778,130,7.58,56.72,130,318,0,1,12,26.1
A109,209,2.1,0,160,7.49,56.72,130,319,0,1,2,19.45
A110,209,2,0.1778,180,7.47,56.72,130,319,0.025,1,4,20.32
A111,210,2.2,0.4075,160,7.55,56.72,120,319,0,1,6,19.98
A112,211,2.5,0.0222,190,7.41,56.72,130,320,0,1,8,21.38
A113,213,2.6,0.0037,150,7.53,56.72,130,325,0,1,10,22.01
A114,215,2.1,0.1148,180,7.49,56.72,110,328,0,1,12,19.38
A115,172,3,0.1704,250,7.48,56.72,110,263,0.0017,1,2,23.99
A116,213,2.2,0.1333,130,7.51,56.72,140,324,0,1,4,20.01
A117,159,3.3,0,180,7.57,63.81,180,242,0,1,6,25.76
A118,196,3.8,0.1556,160,7.56,49.63,150,299,0,1,8,28.17
A119,206,2.6,0.06298,130,7.57,56.72,140,314,0.0281,1,10,23.67
A120,211,2.6,0,180,7.54,56.72,140,312,0,1,12,22.06
