Code,DO,Nitrate,CaH,pH,Sulphates,Sodium,EC,Iron,Seasons,Time,LWQI
A1,5.6,0.4004,12,7.9,4.597364206,13.769,265,2.226,0,2,121.54
A2,4.9,0.4088,4,7.7,4.18740813,13.706,265,2.293,0,4,119.12
A3,4.3,0.4634,4,7.6,9.121522332,13.821,281,2.093,0,6,110.20
A4,3.5,0.6567,4,7.64,4.597364206,14.539,265,1.693,0,8,91.00
A5,4.9,0.6273,8,8.02,4.582722918,13.811,281,1.626,0,10,95.77
A6,5.4,2.0055,8,7.61,3.733528189,17.351,281,1.492,0,12,95.34
A7,4.9,0.955,12,7.29,7.686676066,13.398,281,2.16,0,2,116.90
A8,4,2.5475,8,7.47,4.758418379,17.15,281,1.959,0,4,106.86
A9,5.4,2.4634,4,7.7,7.598828335,16.296,296,2.76,0,6,142.76
A10,4.9,1.1861,8,7.77,9.546119697,15.08,296,1.893,0,8,107.76
A11,4.2,0.4088,12,8.64,10.3074667,14.932,296,1.693,0,10,97.50
A12,3.8,1.0937,8,8.06,8.213762449,14.601,296,1.826,0,12,99.78
A13,6.1,0.6693,12,7.73,11.28843302,23.507,328,2.627,0,2,143.77
A14,5.8,1.0811,8,7.69,7.906295392,23.28,343,1.959,0,4,116.64
A15,4.8,0.6777,4,7.74,8.916544294,21.034,343,1.626,0,6,98.07
A16,4.9,1.0013,4,7.78,10.3074667,24.4,343,1.693,0,8,102.69
A17,4.8,1.245,8,7.89,10.51244473,25.21,359,1.359,0,10,91.32
A18,5.6,0.6189,4,7.9,10.67349891,24.973,343,1.759,0,12,108.26
A19,6,1.2912,12,7.75,9.780380312,26.27,359,1.626,0,2,107.65
A20,3.8,0.6735,16,7.73,10.08784737,22.64,359,1.959,0,4,108.84
A21,4.3,0.8542,8,7.7,8.345534045,23.335,359,2.026,0,6,112.16
A22,3.7,0.8752,8,7.73,10.07320608,24.731,359,2.093,0,8,112.70
A23,3.4,3.2155,8,7.81,9.487554543,22.354,375,2.026,0,10,110.74
A24,3.2,0.6357,8,7.9,10.83455308,24.522,359,1.693,0,12,95.48
A25,8,1.0433,8,7.82,12.54758383,25.665,375,2.226,0,2,138.70
A26,3.4,1.0055,8,7.7,11.50805235,31.509,375,2.226,0,4,118.81
A27,3.7,1.4004,8,7.69,12.34260579,26.552,390,2.093,0,6,114.54
A28,2.9,1.4929,8,7.67,11.4348459,28.887,375,2.026,0,8,108.82
A29,3.5,2.5223,4,7.73,12.26939935,24.099,390,1.826,0,10,103.50
A30,3.3,2.3584,4,8.1,10.39531443,23.931,390,2.093,0,12,111.98
A31,4.2,2.1021,12,7.54,12.75256186,33.403,390,2.026,0,2,117.94
A32,3.8,2.6357,8,7.69,9.472913255,30.662,406,1.292,0,4,87.40
A33,2.4,2.7071,4,7.53,4.553440341,28.708,390,1.492,0,6,85.81
A34,2.9,1.4634,8,7.63,3.660321747,29.16,390,1.826,0,8,99.83
A35,3,1.745,4,7.65,8.857979141,27.037,406,2.093,0,10,110.41
A36,3.7,3.3206,4,7.83,12.66471413,32.549,406,2.36,0,12,127.85
A37,6.1,1.8206,8,7.74,10.46852087,29.327,390,2.293,0,2,133.95
A38,2.8,2.0643,12,7.6,11.93264971,28.158,390,8.165,0,4,337.08
A39,5.2,1.5559,12,7.67,11.75695425,30.548,359,3.628,0,6,180.06
A40,3.9,2.7324,8,7.74,11.08345498,30.416,406,4.028,0,8,189.61
A41,4.2,1.5769,8,7.74,11.05417241,25.321,406,3.494,0,10,168.42
A42,4.3,1.6693,8,7.78,12.06442131,25.545,390,3.027,0,12,151.88
A43,4.5,1.6819,8,7.67,9.912151908,40.099,390,2.093,0,2,122.02
A44,4.4,1.5769,8,7.6,11.65446523,37,375,2.226,0,4,125.69
A45,5.1,5.1105,4,7.47,10.21961896,31.055,406,2.493,0,6,140.10
A46,3.2,5.6021,4,7.66,11.62518265,31.502,375,2.026,0,8,114.85
A47,3.2,0.808,12,7.55,10.8052705,27.652,375,3.561,0,10,166.49
A48,3.4,1.1273,12,7.6,9.838945466,42.91,375,2.093,0,12,117.72
A49,2.7,2.3164,12,7.64,10.62957504,41.936,375,3.027,0,2,150.30
A50,3.6,5.2744,8,7.6,10.11712995,42.009,375,3.094,0,4,159.39
A51,2.9,4.6651,4,7.48,9.736456447,32.826,359,3.561,0,6,169.05
A52,4.5,3.7744,12,7.61,10.89311823,24.622,375,2.426,0,8,132.91
A53,3,1.6273,12,7.6,10.76134664,35.184,390,2.226,0,10,119.38
A54,2.2,1.1987,4,7.7,16.41288397,42.787,390,2.493,0,12,127.16
A55,5.5,3.5097,4,7.73,9.355782947,44.273,375,2.96,0,2,161.08
A56,3,2.2523,8,7.61,10.96632467,42.567,375,3.561,0,4,170.90
A57,4,1.7113,4,7.51,9.106881044,46.696,390,3.427,0,6,170.11
A58,3.5,2.1021,12,7.55,12.65007284,45.849,375,4.028,0,8,192.41
A59,2.8,2.4046,12,7.6,8.067349565,44.779,375,4.495,0,10,205.49
A60,3.7,1.7996,8,7.7,9.912151908,41.134,390,4.428,0,12,205.25
A61,4.5,0.22,41,8.67,6.82460813,17.01,209,1.236,1,2,86.33
A62,4.4,0,16,8.66,5.833964206,15.14,253,1.145,1,4,77.17
A63,4.3,0,58,8.75,4.099464206,17.36,201,1.699,1,6,104.93
A64,3.5,0,8,8.62,11.89912233,19.43,220,1.059,1,8,70.69
A65,3.4,0,16,5.81,6.370728189,19.55,259,1.956,1,10,102.81
A66,4.1,1.54,23,8.55,5.819322918,19.56,252,1.252,1,12,84.00
A67,2.8,0.19,18,7.9,9.256318379,16.64,454,1.887,1,2,100.19
A68,3.2,0.09,20,8.17,10.46427607,18.58,365,2.069,1,4,109.34
A69,3.2,0.19,11,8.37,12.1833197,19.84,330,1.486,1,6,86.78
A70,5.9,0.21,21,8.41,11.48992834,19.97,316,1.964,1,8,118.65
A71,2.9,0.26,16,8.38,10.85096245,18.17,310,1.032,1,10,68.64
A72,3.3,0.22,20,8.43,13.92563302,16.03,288,1.568,1,12,90.95
A73,3.3,0.21,12,8.14,10.54349539,27.05,310,2.062,1,2,110.30
A74,2.9,0.1,11,8.14,12.52503302,28.17,305,1.895,1,4,102.70
A75,3.2,0.07,14,8.15,12.9446667,26.77,309,1.956,1,6,106.58
A76,3,0.16,11,8.12,10.15314429,26.61,310,1.478,1,8,86.82
A77,4.4,0.01,6,8.18,13.31069891,28.45,305,1.665,1,10,100.37
A78,2.6,0.55,11,8.08,12.41758031,26.4,305,1.789,1,12,97.31
A79,2.6,0.17,11,7.86,11.91009891,29.81,306,1.997,1,2,105.40
A80,2.2,0.28,8,7.84,7.847634045,27.53,315,2.045,1,4,103.37
A81,2.3,0.26,17,7.9,12.86544737,26.58,313,2.623,1,6,127.73
A82,2.5,0.12,17,7.96,12.12475454,26.16,313,2.153,1,8,110.83
A83,2.8,0.14,25,7.9,11.30980608,25.89,313,1.864,1,10,102.73
A84,2.6,0.16,16,7.93,17.04548383,29.41,312,1.748,1,12,98.19
A85,2.8,0.32,14,7.8,13.61215308,31.41,322,2.068,1,2,110.62
A86,2,0.22,10,7.8,14.97980579,33.72,313,2.228,1,4,112.91
A87,2.2,0.3001,11,7.87,15.39915235,29.79,312,2.046,1,6,106.32
A88,2.1,0.2297,23,7.82,14.90659935,30.32,248,2.235,1,8,114.55
A89,2.5,0.2593,15,7.76,13.03251443,27.64,311,2.186,1,10,112.37
A90,2.3,0.2371,13,7.77,15.38976186,28.82,258,1.982,1,12,103.98
A91,2.4,0,13,7.67,11.63191443,36.64,264,3.652,1,2,167.52
A92,2.6,0.0629,14,7.68,7.190640341,32.09,313,2.534,1,4,125.32
A93,2.3,0.0222,22,7.74,10.70951326,32.25,312,2.349,1,6,119.37
A94,2.6,0.1407,19,7.71,11.49517914,34.05,313,1.687,1,8,96.51
A95,2.9,0.1519,13,7.7,15.30191413,30.7,313,2.035,1,10,109.54
A96,3.4,0.1296,9,7.68,10.09457914,37.36,311,1.999,1,12,110.55
A97,3.8,0.0111,15,7.64,11.43474971,34.27,302,1.056,1,2,77.75
A98,3.6,0.1185,9,7.6,13.24612087,31.89,228,2.058,1,4,112.08
A99,3.9,0.1667,10,7.69,13.72065498,35.69,302,2.078,1,6,116.27
A100,4.3,0.0259,14,7.63,12.99355425,34.11,304,2.198,1,8,122.51
A101,3.4,0,8,7.65,15.54342131,28.98,308,1.567,1,10,92.92
A102,3.9,0,17,7.64,13.83177241,30.36,243,1.965,1,12,111.18
A103,3.3,0,16,7.41,14.29166523,45.04,270,2.212,1,2,121.92
A104,2.3,0,13,7.54,13.80325191,40.73,315,2.432,1,4,123.88
A105,2.4,0.0222,14,7.54,14.26238265,36.2,225,2.016,1,6,107.24
A106,2.7,0.0518,16,7.62,13.4424705,35.19,317,2.648,1,8,132.68
A107,2.3,0.1519,12,7.52,12.47614547,31.31,318,1.178,1,10,74.35
A108,3.4,0.0778,9,7.58,12.0418705,47.72,318,1.085,1,12,80.15
A109,2.1,0,15,7.49,12.75432995,46.88,319,3.867,1,2,178.07
A110,2,0.1778,9,7.47,11.86617504,45.74,319,2.658,1,4,131.38
A111,2.2,0.4075,9,7.55,13.53031823,37.97,319,2.188,1,6,113.25
A112,2.5,0.0222,13,7.41,13.39854664,28.31,320,2.356,1,8,118.23
A113,2.6,0.0037,11,7.53,12.12971823,38.84,325,1.365,1,10,84.53
A114,2.1,0.1148,15,7.49,8.857882947,47.6,328,2.384,1,12,122.69
A115,3,0.1704,21,7.48,19.19048397,49.21,263,3.066,1,2,155.58
A116,2.2,0.1333,10,7.51,11.74408104,46.3,324,2.648,1,4,132.26
A117,3.3,0,12,7.57,12.20292467,51.84,242,2.068,1,6,117.25
A118,3.8,0.1556,16,7.56,13.56524957,49.54,299,5.067,1,8,231.60
A119,2.6,0.06298,11,7.57,15.42767284,48.44,314,2.054,1,10,113.62
A120,2.6,0,12,7.54,10.70454957,45.94,312,3.088,1,12,150.22
